"";"X.."
"173";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,9148- Liquidação / Cumprimento / Execução#,899- DIREITO CIVIL#,7681- Obrigações#,9580- Espécies de Contratos#,4805- Previdência privada"
"174";"1156- DIREITO DO CONSUMIDOR#,7771- Contratos de Consumo#,6233- Planos de Saúde#,11974- Cláusulas Abusivas"
"175";"899- DIREITO CIVIL#,9616- Empresas#,4993- Recuperação judicial e Falência#,7697- Correção Monetária#,7691- Inadimplemento"
"176";"14- DIREITO TRIBUTÁRIO#,6033- Contribuições Sociais#,6037- Salário-Educação"
"177";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,10655- Honorários Advocatícios"
"178";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,9148- Liquidação / Cumprimento / Execução#,899- DIREITO CIVIL#,7617- Telefonia#,7771- Contratos de Consumo"
"179";"287- DIREITO PENAL#,3603- Crimes Previstos na Legislação Extravagante#,3607- Crimes de Tráfico Ilícito e Uso Indevido de Drogas"
"180";"7699- Juros de Mora - Legais / Contratuais#,7697- Correção Monetária#,9148- Liquidação / Cumprimento / Execução#,8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO"
"181";"899- DIREITO CIVIL#,4654- Propriedade Intelectual / Industrial#,4660- Patente"
"182";"1209- DIREITO PROCESSUAL PENAL#,7942- Execução Penal e de Medidas Alternativas"
"183";"14- DIREITO TRIBUTÁRIO#,5994- Compensação#,6033- Contribuições Sociais"
"184";"899- DIREITO CIVIL#,7681- Obrigações#,9580- Espécies de Contratos#,9607- Contratos Bancários"
"185";"287- DIREITO PENAL#,9847- Previstos na Legislação Extravagante#,9874- Contra a Ordem Tributária"
"186";"899- DIREITO CIVIL#,10432- Coisas#,4654- Propriedade Intelectual / Industrial"
"187";"195- DIREITO PREVIDENCIÁRIO#,6160- Disposições Diversas Relativas às Prestações#,6165- Atividade concomitante"
"188";"1156- DIREITO DO CONSUMIDOR#,899- DIREITO CIVIL#,10432- Coisas#,10496- Promessa de Compra e Venda#,7681- Obrigações#,7691- Inadimplemento#,10582- Rescisão / Resolução#,9580- Espécies de Contratos#,9582- Alienação Fiduciária"
"189";"1209- DIREITO PROCESSUAL PENAL#,9694- Receptação#,11959- Receptação culposa"
"190";"1156- DIREITO DO CONSUMIDOR#,12486- Planos de saúde#,11974- Cláusulas Abusivas#,7771- Contratos de Consumo"
"191";"899- DIREITO CIVIL#,10945- Expurgos Inflacionários / Planos Econômicos#,5632- Prescrição e Decadência"
"192";"899- DIREITO CIVIL#,10496- Promessa de Compra e Venda#,10433- Indenização por Dano Moral"
"193";"4839- Sistema Financeiro da Habitação#,10458- Usucapião Extraordinária"
"194";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,899- DIREITO CIVIL#,7681- Obrigações#,7691- Inadimplemento"
"195";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10258- Licenças / Afastamentos"
"196";"1209- DIREITO PROCESSUAL PENAL#,3369- Crimes contra a vida"
"197";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,9450- Fraude à Execução"
"198";"1156- DIREITO DO CONSUMIDOR#,9992- Indenização por Dano Moral#,9582- Alienação Fiduciária"
"199";"899- DIREITO CIVIL#,9597- Seguro"
"200";"287- DIREITO PENAL#,9634- Ato Infracional#,10621- Aplicação da Pena#,3607- Crimes de Tráfico Ilícito e Uso Indevido de Drogas"
"201";"1156- DIREITO DO CONSUMIDOR#,6233- Planos de Saúde#,7771- Contratos de Consumo"
"202";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10954- Orçamento#,10219- Servidor Público Civil"
"203";"899- DIREITO CIVIL#,10431- Responsabilidade Civil#,10438- Dano Ambiental"
"204";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,9050- Preparo/Deserção"
"205";"5986- Crédito Tributário#,5978- Obrigação Tributária#,5986- Crédito Tributário"
"206";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,6082- FUSEX/FUNSA/FUSMA/Fundo de Saúde das Forças Armadas"
"207";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,899- DIREITO CIVIL#,10432- Coisas#,10463- Condomínio em Edifício#,10467- Despesas Condominiais"
"208";"899- DIREITO CIVIL#,9616- Empresas#,9617- Espécies de Sociedades#,9623- Anônima#,90002- Subscrição de Ações"
"209";"899- DIREITO CIVIL#,7681- Obrigações#,9580- Espécies de Contratos#,4839- Sistema Financeiro da Habitação#,4847- Seguro"
"210";"14- DIREITO TRIBUTÁRIO#,5978- Obrigação Tributária#,5952- IPTU/ Imposto Predial e Territorial Urbano"
"211";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10324- Militar#,10337- Sistema Remuneratório e Benefícios#,10355- Transferência para reserva"
"212";"1156- DIREITO DO CONSUMIDOR#,12486- Planos de saúde#,7771- Contratos de Consumo"
"213";"899- DIREITO CIVIL#,9616- Empresas#,5724- Sociedade#,4939- Desconsideração da Personalidade Jurídica"
"214";"14- DIREITO TRIBUTÁRIO#,5967- Taxa de Saúde Suplementar"
"215";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10219- Servidor Público Civil#,10342- Reajuste de Remuneração#,Soldo#,Proventos ou Pensão"
"216";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,9895- Estatuto da criança e do adolescente#,10064- Saúde"
"217";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,9148- Liquidação / Cumprimento / Execução#,10655- Honorários Advocatícios"
"218";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10029- Ensino Superior#,10031- Financiamento Público da Educação e/ou Pesquisa"
"219";"1156- DIREITO DO CONSUMIDOR#,6220- Responsabilidade do Fornecedor#,7779- Indenização por Dano Moral"
"220";"195- DIREITO PREVIDENCIÁRIO#,6183- Averbação/Cômputo de tempo de serviço de segurado especial (regime de economia familiar)"
"221";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10324- Militar#,10349- Reforma"
"222";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10370- Concurso Público / Edital#,10380- Escolaridade"
"223";"287- DIREITO PENAL#,3603- Crimes Previstos na Legislação Extravagante#,3632- Crimes de Trânsito"
"224";"287- DIREITO PENAL#,3415- Crimes contra o Patrimônio#,9678- Roubo (art. 157)#,9699- Roubo Majorado#,9675- Furto (art. 155)"
"225";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10219- Servidor Público Civil#,10288- Sistema Remuneratório e Benefícios#,10306- Auxílio-transporte"
"226";"899- DIREITO CIVIL#,10462- Condomínio"
"227";"195- DIREITO PREVIDENCIÁRIO#,6100- Aposentadoria Especial (Art. 57/8)"
"228";"1209- DIREITO PROCESSUAL PENAL#,4368- Denúncia/Queixa#,4370- Recebimento"
"229";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,9997- Atos Administrativos#,10011- Improbidade Administrativa"
"230";"1156- DIREITO DO CONSUMIDOR#,7771- Contratos de Consumo#,9607- Contratos Bancários#,11807- Tarifas"
"231";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8842- Partes e Procuradores#,6042- PASEP"
"232";"1156- DIREITO DO CONSUMIDOR#,7771- Contratos de Consumo#,9597- Seguro"
"233";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,7699- Juros de Mora - Legais / Contratuais"
"234";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,4993- Recuperação judicial e Falência#,5986- Crédito Tributário"
"235";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10219- Servidor Público Civil#,10337- Sistema Remuneratório e Benefícios"
"236";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10023- Multas e demais Sanções"
"237";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10342- Reajuste de Remuneração#,Soldo#,Proventos ou Pensão#,7681- Obrigações#,10592- Desconto em folha de pagamento"
"238";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10166- Conselhos Regionais de Fiscalização Profissional e Afins#,10167- Registro Profissional"
"239";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,10655- Honorários Advocatícios#,10672- Precatório"
"240";"899- DIREITO CIVIL#,10496- Promessa de Compra e Venda#,10582- Rescisão / Resolução"
"241";"14- DIREITO TRIBUTÁRIO#,6039- PIS#,6035- Cofins"
"242";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8843- Assistência Judiciária Gratuita"
"243";"1156- DIREITO DO CONSUMIDOR#,10028- Serviços#,10073- Concessão / Permissão / Autorização"
"244";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
"245";"195- DIREITO PREVIDENCIÁRIO#,6094- Benefícios em Espécie#,6107- Auxílio-Acidente (Art. 86)#,7757- Auxílio-Doença Acidentário"
"246";"287- DIREITO PENAL#,10620- Parte Geral#,10621- Aplicação da Pena"
"247";"287- DIREITO PENAL#,3603- Crimes Previstos na Legislação Extravagante#,3633- Crimes do Sistema Nacional de Armas"
"248";"1209- DIREITO PROCESSUAL PENAL#,7791- Pena Privativa de Liberdade#,10635- Progressão de Regime"
"249";"287- DIREITO PENAL#,10620- Parte Geral#,10623- Prescrição"
"250";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8842- Partes e Procuradores#,10433- Indenização por Dano Moral#,7761- Fornecimento de Água"
"251";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,9997- Atos Administrativos#,10011- Improbidade Administrativa#,10012- Dano ao Erário"
"252";"899- DIREITO CIVIL#,5632- Prescrição e Decadência#,7681- Obrigações#,9580- Espécies de Contratos#,9588- Corretagem"
"253";"1156- DIREITO DO CONSUMIDOR#,6220- Responsabilidade do Fornecedor"
"254";"899- DIREITO CIVIL#,10462- Condomínio#,10467- Despesas Condominiais"
"255";"899- DIREITO CIVIL#,5626- Família#,5779- Alimentos#,6085- FGTS/Fundo de Garantia Por Tempo de Serviço"
"256";"195- DIREITO PREVIDENCIÁRIO#,6096- Aposentadoria por Idade (Art. 48/51)#,6101- Auxílio por Incapacidade Temporária"
"257";"1156- DIREITO DO CONSUMIDOR#,7771- Contratos de Consumo#,7621- Seguro#,11974- Cláusulas Abusivas"
"258";"899- DIREITO CIVIL#,5626- Família#,5779- Alimentos"
"259";"195- DIREITO PREVIDENCIÁRIO#,6094- Benefícios em Espécie#,10247- Auxílio-Reclusão"
"260";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,9997- Atos Administrativos"
"261";"287- DIREITO PENAL#,3415- Crimes contra o Patrimônio#,9678- Roubo (art. 157)"
"262";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10219- Servidor Público Civil#,10313- Reajustes de Remuneração#,Proventos ou Pensão#,10343- Índice de 28,86% LL 8.622/1993 e 8.627/1993"
"263";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10219- Servidor Público Civil#,10337- Sistema Remuneratório e Benefícios#,10290- Gratificação de Incentivo"
"264";"195- DIREITO PREVIDENCIÁRIO#,6031- Contribuições#,6048- Contribuições Previdenciárias"
"265";"14- DIREITO TRIBUTÁRIO#,6031- Contribuições#,6048- Contribuições Previdenciárias#,6060- Contribuição sobre a folha de salários"
"266";"899- DIREITO CIVIL#,5632- Prescrição e Decadência"
"267";"1209- DIREITO PROCESSUAL PENAL#,7942- Execução Penal e de Medidas Alternativas#,7791- Pena Privativa de Liberdade"
"268";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,9148- Liquidação / Cumprimento / Execução#,10672- Precatório#,10673- Requisição de Pequeno Valor - RPV"
"269";"1209- DIREITO PROCESSUAL PENAL#,7942- Execução Penal e de Medidas Alternativas#,7790- Pena Restritiva de Direitos#,7791- Pena Privativa de Liberdade"
"270";"1209- DIREITO PROCESSUAL PENAL#,4263- Ação Penal#,3431- Estelionato"
"271";"899- DIREITO CIVIL#,10496- Promessa de Compra e Venda#,14066- Mora#,10433- Indenização por Dano Moral"
"272";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10219- Servidor Público Civil#,10337- Sistema Remuneratório e Benefícios#,10301- Férias#,10883- Fruição / Gozo"
"273";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,14067- Legitimidade Ativa e Passiva#,13007- Mandado de Segurança Coletivo#,9148- Liquidação / Cumprimento / Execução#,10219- Servidor Público Civil"
"274";"287- DIREITO PENAL#,3369- Crimes contra a vida"
"275";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10011- Improbidade Administrativa"
"276";"14- DIREITO TRIBUTÁRIO#,5954- ITBI - Imposto de Transmissão Intervivos de Bens Móveis e Imóveis"
"277";"899- DIREITO CIVIL#,7681- Obrigações#,9580- Espécies de Contratos#,9600- Transporte de Pessoas#,5851- Assédio Sexual"
"278";"899- DIREITO CIVIL#,10431- Responsabilidade Civil#,10433- Indenização por Dano Moral#,7761- Fornecimento de Água"
"279";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,9148- Liquidação / Cumprimento / Execução#,5632- Prescrição e Decadência"
"280";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,10673- Requisição de Pequeno Valor - RPV"
"281";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,13189- Impenhorabilidade "
"282";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10219- Servidor Público Civil#,10313- Reajustes de Remuneração#,Proventos ou Pensão"
"283";"1156- DIREITO DO CONSUMIDOR#,7771- Contratos de Consumo#,7761- Fornecimento de Água"
"284";"195- DIREITO PREVIDENCIÁRIO#,6094- Benefícios em Espécie#,6098- Rural (Art. 48/51)"
"285";"1156- DIREITO DO CONSUMIDOR#,9607- Contratos Bancários"
"286";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10324- Militar#,10337- Sistema Remuneratório e Benefícios"
"287";"9633- DIREITO DA CRIANÇA E DO ADOLESCENTE#,10621- Aplicação da Pena"
"288";"1209- DIREITO PROCESSUAL PENAL#,4263- Ação Penal"
"289";"1156- DIREITO DO CONSUMIDOR#,7771- Contratos de Consumo#,7752- Bancários#,11806- Empréstimo consignado"
"290";"287- DIREITO PENAL#,1209- DIREITO PROCESSUAL PENAL#,7929- Prisão em flagrante"
"291";"899- DIREITO CIVIL#,10431- Responsabilidade Civil#,10441- Acidente de Trânsito#,14810- Acidente de Trabalho"
"292";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,10672- Precatório#,10673- Requisição de Pequeno Valor - RPV#,9045- Recurso"
"293";"899- DIREITO CIVIL#,10432- Coisas#,10448- Propriedade#,10447- Aquisição#,10458- Usucapião Extraordinária"
"294";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,12775- DIREITO À EDUCAÇÃO#,12795- Acesso#,12805- Acesso sem Conclusão do Ensino Médio"
"295";"14- DIREITO TRIBUTÁRIO#,12989- Execução Fiscal#,5992- Prescrição"
"296";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,10087- Defensoria Pública#,12995- Honorários Advocatícios "
"297";"14- DIREITO TRIBUTÁRIO#,5952- IPTU/ Imposto Predial e Territorial Urbano"
"298";"899- DIREITO CIVIL#,4839- Sistema Financeiro da Habitação#,4847- Seguro"
"299";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8928-  Prazo"
"300";"899- DIREITO CIVIL#,7681- Obrigações#,9580- Espécies de Contratos#,10496- Promessa de Compra e Venda#,10431- Responsabilidade Civil#,10439- Indenização por Dano Material#,10433- Indenização por Dano Moral#,7947- Fatos Jurídicos#,4701- Ato / Negócio Jurídico#,4706- Evicção ou Vicio Redibitório"
"301";"899- DIREITO CIVIL#,7681- Obrigações#,9580- Espécies de Contratos"
"302";"14- DIREITO TRIBUTÁRIO#,5933- IRPJ/Imposto de Renda de Pessoa Jurídica#,6036- Contribuição Social sobre o Lucro Líquido"
"303";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10219- Servidor Público Civil#,10342- Reajuste de Remuneração#,Soldo#,Proventos ou Pensão#,10258- Licenças / Afastamentos"
"304";"1209- DIREITO PROCESSUAL PENAL#,7942- Execução Penal e de Medidas Alternativas#,9189- Remição"
"305";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10219- Servidor Público Civil#,10337- Sistema Remuneratório e Benefícios#,10244- Assistência à Saúde"
"306";"1156- DIREITO DO CONSUMIDOR#,12486- Planos de saúde"
"307";"287- DIREITO PENAL#,9742- Estupro#,3463- Crimes contra a Dignidade Sexual#,11456- Estupro de Vulnerável"
"308";"899- DIREITO CIVIL#,9580- Espécies de Contratos#,9597- Seguro#,14694- DPVAT"
"309";"1209- DIREITO PROCESSUAL PENAL#,7942- Execução Penal e de Medidas Alternativas#,10637- Remição"
"310";"899- DIREITO CIVIL#,9580- Espécies de Contratos#,9582- Alienação Fiduciária"
"311";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,9163- Penhora / Depósito/ Avaliação#,13019- Penhora de Salário / Proventos "
"312";"1156- DIREITO DO CONSUMIDOR#,7771- Contratos de Consumo#,9607- Contratos Bancários"
"313";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10219- Servidor Público Civil#,10337- Sistema Remuneratório e Benefícios#,10303- Adicional de Horas Extras"
"314";"14- DIREITO TRIBUTÁRIO#,5952- IPTU/ Imposto Predial e Territorial Urbano#,9582- Alienação Fiduciária"
"315";"1209- DIREITO PROCESSUAL PENAL#,7942- Execução Penal e de Medidas Alternativas#,14930- Falta Grave#,10623- Prescrição"
"316";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,9148- Liquidação / Cumprimento / Execução#,10939- Intimação / Notificação"
"317";"6191- DIREITO INTERNACIONAL"
"318";"195- DIREITO PREVIDENCIÁRIO#,6119- RMI - Renda Mensal Inicial#,Reajustes e Revisões Específicas#,6120- RMI - Renda Mensal Inicial"
"319";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,12933- Ação Rescisória#,12970- Decadência#,12971- Decisão Rescindenda "
"320";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8939-  Suspensão do Processo"
"321";"1156- DIREITO DO CONSUMIDOR#,7771- Contratos de Consumo#,7760- Fornecimento de Energia Elétrica"
"322";"1156- DIREITO DO CONSUMIDOR#,11864- Irregularidade no atendimento"
"323";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,13024- Preclusão / Coisa Julgada#,10655- Honorários Advocatícios#,9148- Liquidação / Cumprimento / Execução"
"324";"899- DIREITO CIVIL#,12935- Bem de Família Legal"
"325";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,12963- Condições da Ação"
"326";"14- DIREITO TRIBUTÁRIO#,5946- ICMS/ Imposto sobre Circulação de Mercadorias#,5981- Substituição Tributária#,6008- Base de Cálculo#,6039- PIS#,6035- Cofins"
"327";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10219- Servidor Público Civil#,10288- Sistema Remuneratório e Benefícios#,10221- Isonomia/Equivalência Salarial"
"328";"195- DIREITO PREVIDENCIÁRIO#,6094- Benefícios em Espécie"
"329";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10219- Servidor Público Civil#,10337- Sistema Remuneratório e Benefícios#,10306- Auxílio-transporte"
"330";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10219- Servidor Público Civil#,10253- Restabelecimento"
"331";"1209- DIREITO PROCESSUAL PENAL#,4264- Nulidade"
"332";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10157- Organização Político-administrativa / Administração Pública#,10166- Conselhos Regionais de Fiscalização Profissional e Afins"
"333";"287- DIREITO PENAL#,10623- Prescrição"
"334";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10073- Concessão / Permissão / Autorização#,10075- Energia Elétrica"
"335";"1209- DIREITO PROCESSUAL PENAL"
"336";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10219- Servidor Público Civil#,10220- Regime Estatutário#,10236- Promoção / Ascensão"
"337";"14- DIREITO TRIBUTÁRIO#,6031- Contribuições#,6071- Contribuições Especiais#,6077- FUNDEB/FUNDEF/Fundo de Manutenção e Desenvolvimento do Ensino Fundamental e de Valorização do Magistério"
"338";"1209- DIREITO PROCESSUAL PENAL#,10635- Progressão de Regime#,7792- Pena de Multa"
"339";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,14856- Habilitação de Herdeiros"
"340";"1209- DIREITO PROCESSUAL PENAL#,10439- Indenização por Dano Material#,8990- Provas"
"341";"195- DIREITO PREVIDENCIÁRIO#,6094- Benefícios em Espécie#,6107- Auxílio-Acidente (Art. 86)"
"342";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,10938- Citação#,13305- Suspensão / Interrupção"
"343";"10110- DIREITO AMBIENTAL#,9994- Indenização por Dano Ambiental#,14067- Legitimidade Ativa e Passiva"
"344";"287- DIREITO PENAL#,3415- Crimes contra o Patrimônio#,9699- Roubo Majorado"
"345";"195- DIREITO PREVIDENCIÁRIO#,6182- Averbação/Cômputo/Conversão de tempo de serviço especial"
"346";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,12943- Processo Coletivo#,9148- Liquidação / Cumprimento / Execução"
"347";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10370- Concurso Público / Edital"
"348";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,12933- Ação Rescisória#,12957- Cabimento#,13216- Juros de Mora#,10438- Dano Ambiental"
"349";"9148- Liquidação / Cumprimento / Execução#,9149- Valor da Execução / Cálculo / Atualização#,9149- Valor da Execução / Cálculo / Atualização"
"350";"14- DIREITO TRIBUTÁRIO#,6071- Contribuições Especiais#,6085- FGTS/Fundo de Garantia Por Tempo de Serviço"
"351";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10088- Domínio Público#,10089- Bens Públicos#,10401- Taxa de Ocupação / Laudêmio / Foro"
"352";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8867- Substituição Processual#,9148- Liquidação / Cumprimento / Execução"
"353";"287- DIREITO PENAL#,3603- Crimes Previstos na Legislação Extravagante#,3607- Crimes de Tráfico Ilícito e Uso Indevido de Drogas#,3608- Tráfico de Drogas e Condutas Afins"
"354";"287- DIREITO PENAL#,1209- DIREITO PROCESSUAL PENAL#,14929- Comutação de Pena"
"355";"195- DIREITO PREVIDENCIÁRIO#,10247- Auxílio-Reclusão"
"356";"195- DIREITO PREVIDENCIÁRIO#,10247- Auxílio-Reclusão#,14826- Filho Maior e Inválido"
"357";"287- DIREITO PENAL#,3637- Crimes Previstos no Estatuto da criança e do adolescente"
"358";"14- DIREITO TRIBUTÁRIO#,6031- Contribuições#,6048- Contribuições Previdenciárias"
"359";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,10655- Honorários Advocatícios#,9148- Liquidação / Cumprimento / Execução"
"360";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10219- Servidor Público Civil#,10337- Sistema Remuneratório e Benefícios#,10308- Adicional de Serviço Noturno"
"361";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10181- Seguro desemprego#,10157- Organização Político-administrativa / Administração Pública"
"362";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10028- Serviços#,12516- Ressarcimento do SUS"
"363";"287- DIREITO PENAL#,5872- Crimes Praticados por Particular Contra a Administração em Geral#,3574- Contrabando ou descaminho#,10615- Princípio da Insignificância"
"364";"287- DIREITO PENAL#,3415- Crimes contra o Patrimônio#,3417- Furto Qualificado"
"365";"195- DIREITO PREVIDENCIÁRIO#,6104- Pensão por Morte (Art. 74/9)#,6094- Benefícios em Espécie"
"366";"1209- DIREITO PROCESSUAL PENAL#,14226- Crimes Previstos na Lei Maria da Penha"
"367";"195- DIREITO PREVIDENCIÁRIO#,6048- Contribuições Previdenciárias"
"368";"899- DIREITO CIVIL#,10431- Responsabilidade Civil#,9992- Indenização por Dano Moral"
"369";"1209- DIREITO PROCESSUAL PENAL#,7942- Execução Penal e de Medidas Alternativas#,7791- Pena Privativa de Liberdade#,10636- Livramento condicional#,10635- Progressão de Regime"
"370";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10370- Concurso Público / Edital#,10372- Inscrição / Documentação"
"371";"899- DIREITO CIVIL#,7681- Obrigações#,9580- Espécies de Contratos#,9587- Compra e Venda#,7701- Arras ou Sinal"
"372";"14- DIREITO TRIBUTÁRIO#,6008- Base de Cálculo#,6039- PIS#,6035- Cofins"
"373";"195- DIREITO PREVIDENCIÁRIO#,6099- Aposentadoria por Tempo de Serviço (Art. 52/4)#,6181- Tempo de serviço"
"374";"195- DIREITO PREVIDENCIÁRIO#,5632- Prescrição e Decadência#,6094- Benefícios em Espécie"
"375";"195- DIREITO PREVIDENCIÁRIO#,6094- Benefícios em Espécie#,7757- Auxílio-Doença Acidentário"
"376";"899- DIREITO CIVIL#,10496- Promessa de Compra e Venda#,10431- Responsabilidade Civil#,14920- Atraso na Entrega do Imóvel"
"377";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,12995- Honorários Advocatícios "
"378";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,12995- Honorários Advocatícios#,8874- Sucumbência#,9163- Penhora / Depósito/ Avaliação#,13019- Penhora de Salário / Proventos "
"379";"899- DIREITO CIVIL#,7681- Obrigações#,9580- Espécies de Contratos#,9603- Mútuo#,4805- Previdência privada#,5632- Prescrição e Decadência"
"380";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10219- Servidor Público Civil#,10277- Averbação / Contagem de Tempo Especial#,10288- Sistema Remuneratório e Benefícios"
"381";"10110- DIREITO AMBIENTAL#,10112- Revogação/Anulação de multa ambiental"
"382";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10219- Servidor Público Civil#,10337- Sistema Remuneratório e Benefícios#,10662- Abono de Permanência"
"383";"12775- DIREITO À EDUCAÇÃO#,12844- Fies#,12843- Programas de Bolsas e Financiamento Estudantil com Recursos Públicos "
